timestamp,x,y,theta
1684869977.656972,0.0,0.0,0.0
1684869977.68132,-2.4348020552872753e-05,1.867402230347348e-10,-7.669626474380493e-06
1684869977.706672,-4.9700021739951475e-05,5.836386512946531e-10,-1.565550684928894e-05
1684869977.731435,-7.44631290329441e-05,1.164479264372778e-09,-2.3455885648727416e-05
1684869977.756945,-9.997296330984565e-05,1.9678217885799934e-09,-3.1491483449935914e-05
1684869977.781763,-0.0001247911452822481,2.943404935344614e-09,-3.930921077728272e-05
1684869977.806495,-0.00014952301972075805,4.108270069811679e-09,-4.709975123405457e-05
1684869977.831275,-0.00017430305470232787,5.468829346785189e-09,-5.4905462265014655e-05
1684869977.856497,-0.0001995251177170873,7.054046404127919e-09,-6.285041213035584e-05
1684869977.881661,-0.00022468900658533387,8.835071904209877e-09,-7.077703714370728e-05
1684869977.906969,-0.00024999713867849155,1.0828064502414621e-08,-7.8749098777771e-05
1684869977.931251,-0.00027427911719504164,1.2925976994460992e-08,-8.639792203903198e-05
1684869977.956232,-0.00029926013896515127,1.5280861579992855e-08,-9.426694393157958e-05
1684869977.981991,-0.000325019120534862,1.791809247809439e-08,-0.00010238102316856384
1684869978.006092,-0.0003491201392947625,2.0568550068087578e-08,-0.00010997284412384032
1684869978.031154,-0.000374181984900093,2.352252279647305e-08,-0.00011786732554435729
1684869978.056332,-0.00039936017874688787,2.668990074081726e-08,-0.00012579845666885374
1684869978.08157,-0.00042459797721194903,3.006541499784322e-08,-0.00013374836325645445
1684869978.106356,-0.0004493839724470155,3.357402016892447e-08,-0.00014155595183372495
1684869978.131273,-0.0004743010978708222,3.729675949404041e-08,-0.0001494048464298248
1684869978.156542,-0.0004995701290826042,4.127321029757165e-08,-0.00015736459136009214
1684869978.181294,-0.0005243220303715961,4.5361270003590465e-08,-0.00016516144037246702
1684869978.206616,-0.0005496439904412803,4.974545997204656e-08,-0.00017313785791397092
1684869978.23172,-0.000574748035897776,5.42904378062291e-08,-0.0001810456323623657
1684869978.256433,-0.0005994610748553746,5.895700693357199e-08,-0.0001888302397727966
1684869978.281623,-0.0006246509509241394,6.391349424407237e-08,-0.0001967650508880615
1684869978.306833,-0.0006498610925315485,6.907416775718715e-08,-0.00020470624566078184
1684869978.331526,-0.0006745541042116565,7.432105117571857e-08,-0.00021248454451560972
1684869978.356434,-0.0006994621694029669,7.980905984535504e-08,-0.00022033058524131773
1684869978.382008,-0.0007250361376233225,8.56498061101324e-08,-0.00022838638544082638
1684869978.407405,-0.0007504329607968107,9.165326944150449e-08,-0.00023638638496398923
1684869978.432792,-0.0007758200087600263,9.785744025836015e-08,-0.000244383305311203
1684869978.457197,-0.0008002250105786768,1.0400923070101978e-07,-0.0002520708811283112
1684869978.482475,-0.0008255031011547213,1.1058238070762148e-07,-0.0002600334799289704
1684869978.507495,-0.0008505229843662759,1.1728557645911146e-07,-0.00026791474342346196
1684869978.53272,-0.0008757481459125732,1.242442065908814e-07,-0.00027586066961288457
1684869978.557521,-0.0009005491607685817,1.3127958480908256e-07,-0.00028367298960685735
1684869978.582315,-0.0009253430230118177,1.3850657576397716e-07,-0.0002914830565452576
1684869978.607959,-0.0009509870858107951,1.4618853546634476e-07,-0.00029956093668937687
1684869978.632258,-0.0009752859909904102,1.5365352609587712e-07,-0.0003072150921821595
1684869978.657156,-0.001000184041970277,1.6149785596896902e-07,-0.00031505797863006597
1684869978.68292,-0.001025948029119739,1.6982409763817485e-07,-0.000323173635005951
1684869978.707562,-0.0010505900184319826,1.7797901591190793e-07,-0.0003309358620643616
1684869978.732471,-0.0010754990364727512,1.8641774824609257e-07,-0.0003387822031974793
1684869978.757186,-0.001100213981735334,1.9498314319212725e-07,-0.00034656741142272953
1684869978.782151,-0.0011251790280035628,2.0383153989978403e-07,-0.0003544314014911652
1684869978.807809,-0.001150837156963368,2.1313296389596888e-07,-0.00036251371264457705
